episode,total_reward,epsilon
464,45.0,0.75488
465,135.0,0.754493
466,35.0,0.754086
467,135.0,0.753549
468,155.0,0.753039
469,465.0,0.7520979999999999
470,60.0,0.751707
471,125.0,0.7512030000000001
472,170.0,0.750596
473,290.0,0.749917
474,260.0,0.74915
475,190.0,0.7484580000000001
476,305.0,0.747779
477,85.0,0.747297
478,60.0,0.746747
479,200.0,0.746176
480,320.0,0.7454959999999999
481,65.0,0.744969
482,320.0,0.744049
483,460.0,0.743329
484,35.0,0.743011
485,85.0,0.7424649999999999
486,90.0,0.7419009999999999
487,60.0,0.7413890000000001
488,140.0,0.7408129999999999
489,220.0,0.740183
490,135.0,0.739652
491,350.0,0.7387699999999999
492,265.0,0.738132
493,35.0,0.737831
494,65.0,0.7375309999999999
495,155.0,0.73705
496,210.0,0.7363569999999999
497,305.0,0.735446
498,290.0,0.734756
499,50.0,0.734275
